"instructor","course","quarter","dept","Year_2020","Year_2021","Year_2022","Year_2023","trend"
"MCHUGH P","WRIT    153B","Spring","WRIT",3.972,3.948,4,3.9,"No Trend"
"COTICH C","WRIT    151B","Spring","WRIT",3.42173913043478,3.32272727272727,2.95,3.3,"No Trend"
"COKLIN L","WRIT    131C","Spring","WRIT",3.82608695652174,3.91111111111111,3.95263157894737,3.70555555555556,"No Trend"
"KRUT R M","WRIT    107B","Spring","WRIT",4,3.93333333333333,3.74,3.988,"No Trend"
"CHENOWETH R C","WRIT    105SW","Spring","WRIT",3.87916666666667,3.43181818181818,3.478,3.58510638297872,"No Trend"
"FRANK D M","WRIT    105M","Spring","WRIT",3.548,3.47391304347826,3.5304347826087,3.7375,"No Trend"
"HANSON J L","WRIT      2","Spring","WRIT",3.55555555555556,3.52678571428571,3.38163265306122,3.49574468085106,"No Trend"
"VERTIZ V","WRIT      2","Spring","WRIT",3.7304347826087,3.18333333333333,3.59583333333333,3.38888888888889,"No Trend"
"WARWICK N L","WRIT      2","Spring","WRIT",3.56734693877551,3.34444444444444,3.48562874251497,3.4,"No Trend"
"WEBBER M A","WRIT      2","Spring","WRIT",3.75416666666667,3.19583333333333,3.03061224489796,3.45102040816327,"No Trend"
"GABRIELE G F","TMP     124","Spring","TMP",3.89411764705882,3.92432432432432,3.79655172413793,3.74583333333333,"No Trend"
"HEY M V","TMP     120","Spring","TMP",3.36938775510204,3.44864864864865,3.50123456790123,3.37916666666667,"No Trend"
"HERRERA D J","THTR    195","Spring","THTR",3.975,4,4,4,"No Trend"
"FISHELL J K","THTR      5","Spring","THTR",3.62097902097902,3.69626168224299,3.7364406779661,3.66695652173913,"No Trend"
"SEGURA D A","SOC     153","Spring","SOC",3.56103896103896,3.48974358974359,3.39390243902439,2.92359550561798,"Downward Trend"
"BALDWIN J D","SOC     152A","Spring","SOC",3.81625514403292,3.06208425720621,2.64512471655329,2.92112299465241,"No Trend"
"BALDWIN J I","SOC     152A","Spring","SOC",3.81625514403292,3.06208425720621,2.64512471655329,2.92112299465241,"No Trend"
"TOBER T L","SOC     134","Spring","SOC",3.50533333333333,3.52888888888889,3.52795698924731,3.51428571428571,"No Trend"
"MCCLAIN K L","RUSS      3","Spring","RUSS",3.88823529411765,3.74166666666667,3.8,3.28333333333333,"No Trend"
"MCLELLAN L","RUSS      3","Spring","RUSS",3.73636363636364,3.81111111111111,3.84615384615385,3.62857142857143,"No Trend"
"KAUFFMAN M E","RG ST   190WE","Spring","RG",3.12916666666667,2.54583333333333,3.46551724137931,2.90434782608696,"No Trend"
"KAUFFMAN M E","RG ST   190GA","Spring","RG",3.01176470588235,3.17222222222222,3.040625,3.06086956521739,"No Trend"
"JARRETT G C","RG ST   156CE","Spring","RG",3.05135135135135,3.0695652173913,3.24827586206897,3.359375,"Upward Trend"
"BUSTO R V","RG ST    71","Spring","RG",3.885,3.74181818181818,3.71333333333333,3.56724137931035,"Downward Trend"
"CAMPO M","RG ST    10C","Spring","RG",3.36666666666667,3.69130434782609,3.48888888888889,3.12105263157895,"No Trend"
"COLLINS N L","PSY     221C","Spring","PSY",3.8,3.83461538461538,3.95,3.948,"No Trend"
"MEIRING W","PSTAT   230","Spring","PSTAT",3.68,3.28,3.75,3.8125,"No Trend"
"DUNCAN J E","PSTAT   183","Spring","PSTAT",3.09487179487179,3.15333333333333,3.18382352941176,3.08913043478261,"No Trend"
"NAYAK C V","PHYS    223C","Spring","PHYS",4,4,4,4,"No Trend"
"LUDWIG A W","PHYS    220","Spring","PHYS",3.925,3.95,3.93076923076923,3.80833333333333,"No Trend"
"ZEE A","PHYS    150","Spring","PHYS",3.4962962962963,3.33888888888889,3.53888888888889,3.72941176470588,"No Trend"
"MARTIN C L","PHYS    133","Spring","PHYS",3.52295081967213,2.60508474576271,2.5078431372549,3.23913043478261,"No Trend"
"RICHMAN J D","PHYS    125","Spring","PHYS",2.9390243902439,3.008,3.21025641025641,2.9695652173913,"No Trend"
"POPESCU P F","PHYS      6CL","Spring","PHYS",3.45722379603399,3.55391969407266,3.6299711815562,3.57881355932203,"No Trend"
