"instructor","course","quarter","dept","Year_2020","Year_2021","Year_2022","Year_2023","trend"
"BROWNING R","WRIT    500","Spring","WRIT",0,NA,NA,NA,"No Trend"
"BRADLEY N D","WRIT    259","Spring","WRIT",4,3.88888888888889,NA,NA,"No Trend"
"MORRIS N S","WRIT    199","Spring","WRIT",3.73333333333333,NA,NA,NA,"No Trend"
"GENOVA G L","WRIT    162","Spring","WRIT",3.94,NA,NA,NA,"No Trend"
"BROWNING R","WRIT    160","Spring","WRIT",3.50714285714286,NA,NA,NA,"No Trend"
"MIZRAHI J L","WRIT    159B","Spring","WRIT",3.6,NA,NA,NA,"No Trend"
"KRYDER E A","WRIT    157B","Spring","WRIT",3.908,3.936,NA,NA,No Trend"
"SORAPURE M I","WRIT    155B","Spring","WRIT",3.87692307692308,3.736,3.888,NA,"No Trend"
"MCHUGH P","WRIT    153B","Spring","WRIT",3.972,3.948,4,3.9,"No Trend"
"COTICH C","WRIT    151B","Spring","WRIT",3.42173913043478,3.32272727272727,2.95,3.3,"No Trend"
"COTICH C","WRIT    150","Spring","WRIT",0,NA,NA,NA,"No Trend"
"FANCHER P J","WRIT    150","Spring","WRIT",0,NA,NA,NA,"No Trend"
"KRYDER E A","WRIT    150","Spring","WRIT",0,NA,NA,NA,"No Trend"
"MCHUGH P","WRIT    150","Spring","WRIT",0,NA,NA,NA,"No Trend"
"MIZRAHI J L","WRIT    150","Spring","WRIT",0,NA,NA,NA,"No Trend"
"COKLIN L","WRIT    131C","Spring","WRIT",3.82608695652174,3.91111111111111,3.95263157894737,3.70555555555556,"No Trend"
"MIZRAHI J L","WRIT    128","Spring","WRIT",3.46153846153846,NA,NA,NA,"No Trend"
"MENA H P","WRIT    126","Spring","WRIT",3.55294117647059,3.36428571428571,NA,NA,"No Trend"
"HIRSCH S A","WRIT    109V","Spring","WRIT",3.49130434782609,NA,NA,3.90416666666667,"No Trend"
"WUEBBEN D L","WRIT    109ST","Spring","WRIT",3.97,NA,NA,NA,"No Trend"
"HAMMER L M","WRIT    109SS","Spring","WRIT",3.525,NA,NA,NA,"No Trend"
"PATTERSON K A","WRIT    109SS","Spring","WRIT",3.12222222222222,NA,3.18947368421053,NA,"No Trend"
"ROSS ALTARAC","WRIT    109SS","Spring","WRIT",3.6578947368421,3.34285714285714,NA,NA,"No Trend"
"BAILLARGEON K","WRIT    109HU","Spring","WRIT",3.69565217391304,NA,NA,NA,"No Trend"
"HARRIS-MOORE","WRIT    109HP","Spring","WRIT",3.74255319148936,3.69591836734694,NA,NA,"No Trend"
"FANCHER P J","WRIT    109GS","Spring","WRIT",3.49166666666667,NA,NA,NA,"No Trend"
"HUK P M","WRIT    109F","Spring","WRIT",3.91304347826087,3.91904761904762,NA,3.60769230769231,"No Trend"
"THOMAS C","WRIT    109F","Spring","WRIT",3.604,NA,NA,NA,"No Trend"
"BROWNING R","WRIT    109ED","Spring","WRIT",3.71951219512195,NA,NA,NA,"No Trend"
"DEAN C W","WRIT    109ED","Spring","WRIT",3.90869565217391,3.56666666666667,3.62857142857143,NA,"No Trend"
"VERTIZ V","WRIT    109CS","Spring","WRIT",3.79090909090909,NA,NA,NA,"No Trend"
"BROWN KARA","WRIT    107WC","Spring","WRIT",3.75454545454545,3.66190476190476,NA,NA,"No Trend"
"KRUVAND M","WRIT    107P","Spring","WRIT",3.11162790697674,NA,NA,NA,"No Trend"
"MORRIS N S","WRIT    107M","Spring","WRIT",3.70909090909091,NA,NA,NA,"No Trend"
"BAILLARGEON K","WRIT    107L","Spring","WRIT",3.42127659574468,NA,NA,NA,"No Trend"
"MENA H P","WRIT    107J","Spring","WRIT",3.32978723404255,NA,3.56086956521739,NA,"No Trend"
"COKLIN L","WRIT    107G","Spring","WRIT",3.47021276595745,NA,NA,NA,"No Trend"
"EK A A","WRIT    107EP","Spring","WRIT",3.74583333333333,NA,NA,NA,"No Trend"
"EK A A","WRIT    107B","Spring","WRIT",3.64166666666667,NA,NA,NA,"No Trend"
"ERNST B C","WRIT    107B","Spring","WRIT",3.564,3.854,NA,NA,"No Trend"
"GENOVA G L","WRIT    107B","Spring","WRIT",3.56190476190476,3.40416666666667,NA,NA,"No Trend"
"KRUT R M","WRIT    107B","Spring","WRIT",4,3.93333333333333,3.74,3.988,"No Trend"
"RUTHERFORD K","WRIT    107B","Spring","WRIT",3.92857142857143,NA,NA,NA,"No Trend"
"CHENOWETH R C","WRIT    105SW","Spring","WRIT",3.87916666666667,3.43181818181818,3.478,3.58510638297872,"No Trend"
"LUNSFORD K J","WRIT    105SW","Spring","WRIT",3.94090909090909,NA,NA,NA,"No Trend"
"STANSELL A","WRIT    105SW","Spring","WRIT",3.38648648648649,NA,NA,NA,"No Trend"
