"instructors","course","dept","passFailRatio2020","passFailRatio2021","passFailRatio2022","passFailRatio2023","Trend"
"COTICH C","WRIT    151B","WRIT",0.875,1,0.733333333333333,0.857142857142857,"Slight Upward"
"COKLIN L","WRIT    131C","WRIT",0,1,1,0.75,"Slight Upward"
"CHENOWETH R C","WRIT    105SW","WRIT",1,0.818181818181818,0.96875,1,"Slight Upward"
"FRANK D M","WRIT    105M","WRIT",0.826086956521739,0.818181818181818,0.85,0.833333333333333,"Slight Downward"
"HANSON J L","WRIT      2","WRIT",0.970588235294118,0.898550724637681,0.873015873015873,0.941176470588235,"Slight Downward"
"VERTIZ V","WRIT      2","WRIT",0.911764705882353,0.818181818181818,0.75,1,"Slight Downward"
"WARWICK N L","WRIT      2","WRIT",0.91304347826087,0.804597701149425,0.923076923076923,0.863636363636364,"Slight Downward"
"WEBBER M A","WRIT      2","WRIT",0.75,0.833333333333333,0.805555555555556,0.666666666666667,"Slight Downward"
"BENJAMIN R","W&L  CS 110","W&L",1,1,1,1,"Strong Upward"
"GABRIELE G F","TMP     124","TMP",0.9875,1,1,1,"Strong Upward"
"HEY M V","TMP     120","TMP",0.957142857142857,0.916666666666667,0.957446808510638,0.884615384615385,"Slight Downward"
"GREATHOUSE J","TMP     111","TMP",1,1,1,1,"Strong Upward"
"FISHELL J K","THTR      5","THTR",0.794117647058823,0.933333333333333,0.923076923076923,0.909090909090909,"Slight Downward"
"SEGURA D A","SOC     153","SOC",0.944444444444444,0.810810810810811,0.875,0.75,"Slight Downward"
"BALDWIN J D","SOC     152A","SOC",0.964646464646465,0.731034482758621,0.649171270718232,0.817891373801917,"Slight Downward"
"BALDWIN J I","SOC     152A","SOC",0.964646464646465,0.731034482758621,0.649171270718232,0.817891373801917,"Slight Downward"
"TOBER T L","SOC     134","SOC",0.883720930232558,0.883720930232558,0.977272727272727,0.9,"Slight Upward"
"MCCLAIN K L","RUSS      3","RUSS",1,1,1,0.75,"Slight Upward"
"MCLELLAN L","RUSS      3","RUSS",1,1,1,1,"Strong Upward"
"KAUFFMAN M E","RG ST   190WE","RG",0.666666666666667,0.533333333333333,1,0.764705882352941,"Slight Downward"
"KAUFFMAN M E","RG ST   190GA","RG",0.666666666666667,0.75,0.80952380952381,0.733333333333333,"Slight Upward"
"JARRETT G C","RG ST   156CE","RG",0.714285714285714,0.705882352941177,0.733333333333333,0.846153846153846,"Slight Upward"
"BUSTO R V","RG ST    71","RG",0.976744186046512,0.96969696969697,0.979591836734694,0.931506849315068,"Slight Downward"
"CAMPO M","RG ST    10C","RG",0.842105263157895,0.933333333333333,1,0.875,"Slight Upward"
"COLLINS N L","PSY     221C","PSY",1,0.928571428571429,1,1,"Slight Upward"
"MEIRING W","PSTAT   230","PSTAT",1,0.875,1,1,"Slight Upward"
"DUNCAN J E","PSTAT   183","PSTAT",0.754716981132076,0.806451612903226,0.833333333333333,0.620689655172414,"Slight Upward"
"LUDWIG A W","PHYS    220","PHYS",1,1,1,1,"Strong Upward"
"ZEE A","PHYS    150","PHYS",0.833333333333333,0.818181818181818,0.666666666666667,1,"Slight Downward"
"MARTIN C L","PHYS    133","PHYS",0.95,0.666666666666667,0.555555555555556,0.882352941176471,"Slight Downward"
"RICHMAN J D","PHYS    125","PHYS",0.696969696969697,0.857142857142857,0.84375,0.789473684210526,"Slight Downward"
"POPESCU P F","PHYS      6CL","PHYS",0.95067264573991,0.979827089337176,0.995575221238938,0.99203187250996,"Slight Upward"
"GELLER R M","PHYS      6C","PHYS",0.744186046511628,0.785714285714286,0.85,0.859375,"Strong Upward"
"POPESCU P F","PHYS      6BL","PHYS",0.935275080906149,0.973941368078176,0.994047619047619,0.964444444444444,"Slight Upward"
"FREUND E G","PHYS      6B","PHYS",0.914454277286136,0.797153024911032,0.705263157894737,0.795321637426901,"Slight Downward"
"BOUWMEESTER D","PHYS      2","PHYS",0.878698224852071,0.847826086956522,0.830188679245283,0.8,"Strong Downward"
"NATHAN J S","MUS A   147S","MUS",1,1,1,1,"Strong Upward"
"NATHAN J S","MUS A    47S","MUS",1,1,1,1,"Strong Upward"
"KUZIN M","MUS A    42","MUS",1,0.75,1,1,"Slight Upward"
"NATHAN J S","MUS      16","MUS",0.733333333333333,0.84,0.931818181818182,1,"Strong Upward"
"KATZ D H","MUS      10C","MUS",1,0.666666666666667,0.869565217391304,0.6875,"Slight Downward"
"JURKOWSKI N W","MUS       4F","MUS",0.5,0.875,0.5,1,"Slight Upward"
"JURKOWSKI N W","MUS       4C","MUS",0.9,1,1,0.75,"Slight Upward"
"YANG H T","ME   W  167","ME",0.882352941176471,0.75,0.8,0.75,"Slight Downward"
"YEUNG E H","ME      155A","ME",0.87037037037037,0.869565217391304,0.934782608695652,0.790697674418605,"Slight Downward"
"HAWKES E W","ME      153","ME",0.977272727272727,0.95,1,1,"Slight Upward"
"PENNATHUR S","ME      141B","ME",1,0.75,1,1,"Slight Upward"
"LUZZATTO-FEGI","ME      125PL","ME",0.923076923076923,0.833333333333333,0.888888888888889,1,"Slight Upward"
